Gender;Continent;Country;Sport;1_N_Total_Teams;1_N_Teams_Animals
Women;Asia;Turkey;Football;19;4
Women;Asia;Thailand;Football;NA;NA
Women;Asia;Israel;Football;NA;NA
Women;Europe;Germany;Football;12;6
Women;Europe;United Kingdom;Football;12;6
Women;Europe;France;Football;NA;NA
Women;Europe;Russian Federation;Football;12;2
Women;Europe;Italy;Football;10;2
Women;Europe;Spain;Football;16;4
Women;Europe;Netherlands;Football;11;3
Women;Europe;Switzerland;Football;NA;NA
Women;Europe;Poland;Football;NA;NA
Women;Europe;Sweden;Football;14;2
Women;Oceania;Australia;Football;NA;NA
Women;Oceania;New Zealand;Football;NA;NA
Women;Oceania;Papua New Guinea;Football;NA;NA
Women;Oceania;New Caledonia;Football;NA;NA
Women;Oceania;Guam;Football;NA;NA
Women;Oceania;French Polynesia;Football;NA;NA
Women;Oceania;Fiji;Football;NA;NA
Women;Oceania;Solomon Island;Football;NA;NA
Women;Oceania;Northern Mariana Islands;Football;NA;NA
Women;Oceania;Vanuatu;Football;NA;NA
Women;Africa;Nigeria;Basketball;NA;NA
Women;Africa;Egypt;Basketball;NA;NA
Women;Africa;South Africa;Basketball;NA;NA
Women;Africa;Algeria;Basketball;NA;NA
Women;Africa;Morocco;Basketball;NA;NA
Women;Africa;Angola;Basketball;NA;NA
Women;Africa;Kenya;Basketball;NA;NA
Women;Africa;Ethiopia;Basketball;NA;NA
Women;Africa;Tanzania, United Republic of;Basketball;NA;NA
Women;Africa;Ghana;Basketball;NA;NA
Women;Americas;United States;Basketball;12;1
Women;Americas;Canada;Basketball;NA;NA
Women;Americas;Brazil;Basketball;NA;NA
Women;Americas;Mexico;Basketball;7;3
Women;Americas;Argentina;Basketball;12;2
Women;Americas;Colombia;Basketball;NA;NA
Women;Americas;Chile;Basketball;NA;NA
Women;Americas;Peru;Basketball;NA;NA
Women;Americas;Puerto Rico;Basketball;8;1
Women;Americas;Ecuador;Basketball;NA;NA
Women;Asia;China;Basketball;17;6
Women;Asia;Japan;Basketball;14;10
Women;Asia;India;Basketball;NA;NA
Women;Asia;Iran, Islamic Republic of;Basketball;NA;NA
Women;Asia;Korea, Republic of;Basketball;6;0
Women;Asia;Indonesia;Basketball;NA;NA
Women;Asia;Saudi Arabia;Basketball;NA;NA
Women;Asia;Turkey;Basketball;14;3
Women;Asia;Thailand;Basketball;NA;NA
Women;Asia;Israel;Basketball;10;2
Women;Europe;Germany;Basketball;11;6
Women;Europe;United Kingdom;Basketball;NA;NA
Women;Europe;France;Basketball;12;1
Women;Europe;Russian Federation;Basketball;12;3
Women;Europe;Italy;Basketball;NA;NA
Women;Europe;Spain;Basketball;NA;NA
