"","ID","Gender","Sport","Continent","Country","Club","Classification_Specific","Classification_General","Classification_Class","Classification_Order","Classification_Family","Classification_Genus","Classification_Species","N_Species_In_Country","EX","EW","CR","EN","VU","NT","LC","DD","NE","Decreasing","Increasing","Stable","Unknown"
"850","ID_850","Men","Ice Hockey","Europe","Switzerland","Schlittschuh Club Bern","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"851","ID_851","Men","Rugby XV","Europe","United Kingdom","Bristol Bears","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"852","ID_852","Men","Cricket","Europe","United Kingdom","Warwickshire County Cricket Club / Birmingham Bears","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"853","ID_853","Men","Basketball","Americas","United States","Memphis Grizzlies","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"854","ID_854","Men","American Football","Americas","United States","Chicago Bears","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"855","ID_855","Men","Baseball","Americas","United States","Chicago cubs","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"856","ID_856","Men","Ice Hockey","Americas","United States","Boston Bruins","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"857","ID_857","Men","Ice Hockey","Americas","United States","Minnesota Wild","Ursus arctos","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"858","ID_858","Men","Basketball","Americas","Canada","Winnipeg Sea Bears","Ursus maritimus","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"859","ID_859","Men","Ice Hockey","Europe","Germany","Eisbären Berlin","Ursus maritimus","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus",0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"860","ID_860","Men","Ice Hockey","Asia","Korea, Republic of","HL Anyang","Ursus maritimus","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus",0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"861","ID_861","Men","Ice Hockey","Europe","Russian Federation","Traktor Chelyabinsk","Ursus maritimus","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"862","ID_862","Women","Ice Hockey","Europe","Russian Federation","Belye Medveditsy","Ursus maritimus","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"863","ID_863","Men","Football","Asia","Korea, Republic of","Gangwon FC","Ursus thibetanus","Species","Mammalia","Carnivora","Ursidae","Ursus","Ursus thibetanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869","ID_869","Men","Basketball","Americas","Canada","Vancouver Bandits","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"870","ID_870","Men","Handball","Europe","Germany","Füchse Berlin","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"871","ID_871","Women","Volleyball","Europe","Poland","Uni Opole","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"872","ID_872","Men","Ice Hockey","Europe","Russian Federation","Metallurg Magnitogorsk","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"873","ID_873","Women","Basketball","Europe","Russian Federation","UMMC Ekaterinburg","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"874","ID_874","Women","Handball","Europe","Russian Federation","HC Ufa-Alisa","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"875","ID_875","Men","Football","Europe","United Kingdom","Leicester City FC","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"876","ID_876","Men","Cricket","Europe","United Kingdom","Leicestershire County Cricket Club","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"877","ID_877","Women","Football","Europe","United Kingdom","Leicester City WFC","Vulpes vulpes","Species","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"878","ID_878","Men","Volleyball","Americas","Argentina","UPCN San Juan Voley Club","Vultur gryphus","Species","Aves","Cathartiformes","Cathartidae","Vultur","Vultur gryphus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"879","ID_879","Women","Basketball","Asia","China","Shanghai Baoshan Dahua Swordfish","Xiphias gladius","Species","Actinopterygii","Istiophoriformes","Xiphiidae","Xiphias","Xiphias gladius",1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"880","ID_880","Women","Volleyball","Asia","Japan","Hisamitsu Springs","Zosterops japonicus","Species","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops japonicus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
