ID;ID;Gender;Sport;Continent;Country;Club;Team logo;Team nickname;Trophic;Classification_Specific;Classification_General;Classification_Class;Classification_Order;Classification_Family;Classification_Genus;Classification_Species;Stadium;Location;Lat;Long;Capacity;N_Species_In_Country;EX;EW;CR;EN;VU;NT;LC;DD;NE;Decreasing;Increasing;Stable;Unknown
ID_20;20;Men;Football;Africa;Egypt;Al Masry SC;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Borg El Arab Stadium;30.99973451383713, 29.730300047042476;30.99973451383713; 29.730300047042476;80000;33;NA;NA;1;4;3;3;22;NA;NA;16;3;13;1
ID_21;21;Men;Football;Africa;Egypt;Al Ahly SC;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;El Ahly Stadium;30.174616401018902, 31.435268694479575;30.174616401018902; 31.435268694479575;30000;33;NA;NA;1;4;3;3;22;NA;NA;16;3;13;1
ID_22;22;Men;Football;Africa;Egypt;Future;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;El Salam Stadium;30.174634951116975, 31.435311609729432;30.174634951116975; 31.435311609729432;22000;33;NA;NA;1;4;3;3;22;NA;NA;16;3;13;1
ID_23;23;Men;Basketball;Africa;Egypt;Al Ahly;Raptor;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Al Ahly Sports Hall;30.044113919459217, 31.223241011681292;30.044113919459217; 31.223241011681292;2500;33;NA;NA;1;4;3;3;22;NA;NA;16;3;13;1
ID_24;24;Men;Volleyball;Africa;Egypt;Al-Ahly SC;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Al Ahly Sports Hall;30.041112187214303, 31.22349973606732;30.041112187214303; 31.22349973606732;2500;33;NA;NA;1;4;3;3;22;NA;NA;16;3;13;1
ID_25;25;Men;Handball;Africa;Egypt;Al Ahly Sporting Club;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Al Ahly Sports Hall;30.041112187214303, 31.22349973606732;30.041112187214303; 31.22349973606732;2500;33;NA;NA;1;4;3;3;22;NA;NA;16;3;13;1
ID_26;26;Men;Football;Europe;France;OGC Nice;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Allianz Riviera;43.7052950690621, 7.193081565387875;43.7052950690621; 7.193081565387875;36178;26;NA;NA;NA;2;3;3;18;NA;NA;10;5;10;1
ID_27;27;Men;Volleyball;Europe;France;Cambrai Volley;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Salle Jean-Marie Vanpoulle;50.17329464863001, 3.225355998908277;50.17329464863001; 3.225355998908277;1400;26;NA;NA;NA;2;3;3;18;NA;NA;10;5;10;1
ID_28;28;Men;Volleyball;Europe;France;Nice Volley-Ball;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Salle Giamarchi/Palmeira;43.69860337164784, 7.255292409060018;43.69860337164784; 7.255292409060018;1000;26;NA;NA;NA;2;3;3;18;NA;NA;10;5;10;1
ID_29;29;Men;Handball;Europe;France;Pays d'Aix Université Club handball;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Aréna du Pays d'Aix;43.47312442523627, 5.404483537888323;43.47312442523627; 5.404483537888323;7000;26;NA;NA;NA;2;3;3;18;NA;NA;10;5;10;1
ID_30;30;Men;Ice Hockey;Europe;France;Rapaces de Gap;Eagle;Raptor;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Alp'Arena;44.560592833876505, 6.086054836074395;44.560592833876505; 6.086054836074395;2930;26;NA;NA;NA;2;3;3;18;NA;NA;10;5;10;1
ID_31;31;Men;Ice Hockey;Europe;France;Nice hockey élite;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Palais des sports Jean-Bouin;43.70758758907908, 7.281437809333234;43.70758758907908; 7.281437809333234;1200;26;NA;NA;NA;2;3;3;18;NA;NA;10;5;10;1
ID_32;32;Women;Handball;Europe;France;OGC Nice Côte d'Azur Handball;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Halle des sports Charles-Ehrmann;43.67738065945199, 7.196809357318948;43.67738065945199; 7.196809357318948;1450;26;NA;NA;NA;2;3;3;18;NA;NA;10;5;10;1
ID_33;33;Men;Football;Europe;Germany;Eintracht Frankfurt eV;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Deutsche Bank Park;50.068670196083254, 8.645986981088807;50.068670196083254; 8.645986981088807;51500;23;NA;NA;NA;1;1;3;18;NA;NA;8;4;10;1
ID_34;34;Men;Basketball;Europe;Germany;EWE Baskets Oldenburg;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Kleine EWE Arena;53.146479673872335, 8.229708619348955;53.146479673872335; 8.229708619348955;6069;23;NA;NA;NA;1;1;3;18;NA;NA;8;4;10;1
ID_35;35;Women;Football;Europe;Germany;1. Frauen-Fußball-Club Frankfurt;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stadion am Brentanobad;50.12502303416117, 8.6212427570053;50.12502303416117; 8.6212427570053;5650;23;NA;NA;NA;1;1;3;18;NA;NA;8;4;10;1
ID_36;36;Women;Football;Europe;Germany;1. FFC Turbine Potsdam;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Karl-Liebknecht-Stadion;52.39914882029603, 13.094724955753655;52.39914882029603; 13.094724955753655;10787;23;NA;NA;NA;1;1;3;18;NA;NA;8;4;10;1
ID_37;37;Women;Volleyball;Europe;Germany;SC Potsdam eV;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;MBS Arena Potsdam;52.37993778084012, 13.018393967738849;52.37993778084012; 13.018393967738849;2050;23;NA;NA;NA;1;1;3;18;NA;NA;8;4;10;1
ID_38;38;Men;Football;Africa;Ghana;Bechem United FC;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Nana Gyeabour's Park;7.090080269254515, -2.030526747453814;7.090080269254515; -2.030526747453814;5000;44;NA;NA;4;3;2;2;33;NA;NA;24;3;17;NA
ID_39;39;Men;Football;Africa;Ghana;Berekum Chelsea FC;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Golden City Park;7.453953965123099, -2.5844907744379957;7.453953965123099; -2.5844907744379957;5000;44;NA;NA;4;3;2;2;33;NA;NA;24;3;17;NA
ID_40;40;Men;Football;Africa;Ghana;Tamale City FC;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Tamale Stadium;9.410427719616282, -0.8608972744157701;9.410427719616282; -0.8608972744157701;21017;44;NA;NA;4;3;2;2;33;NA;NA;24;3;17;NA
ID_41;41;Men;Volleyball;Asia;India;Hyderabad Black Hawks;Hawk;Hawk;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;G M C Balayogi Indoor Stadium;17.44840215467311, 78.3454551516629;17.44840215467311; 78.3454551516629;5000;54;NA;NA;4;3;6;9;32;NA;NA;35;4;13;2
ID_42;42;Men;Cricket;Asia;India;Sunrisers Hyderabad;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Rajiv Gandhi International Cricket Stadium;17.406833313485883, 78.55104975432755;17.406833313485883; 78.55104975432755;55000;54;NA;NA;4;3;6;9;32;NA;NA;35;4;13;2
ID_43;43;Men;Basketball;Asia;Indonesia;Tangerang Hawks;Hawk;Hawk;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Indoor Stadium Sport Center Kabupaten Tangerang;-6.256693416213831, 106.60398925995159;-6.256693416213831; 106.60398925995159;2000;61;NA;NA;1;1;3;8;47;1;NA;37;1;21;2
ID_44;44;Men;Volleyball;Asia;Indonesia;Jakarta STIN BIN;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Gelora Satria;-7.415888608275597, 109.25122525520983;-7.415888608275597; 109.25122525520983;5000;61;NA;NA;1;1;3;8;47;1;NA;37;1;21;2
ID_45;45;Men;Volleyball;Asia;Indonesia;Surabaya BIN Samator;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Gor Jatidiri Semarang;-7.027955984786636, 110.41031526881149;-7.027955984786636; 110.41031526881149;NA;61;NA;NA;1;1;3;8;47;1;NA;37;1;21;2
ID_46;46;Women;Volleyball;Asia;Indonesia;Jakarta BIN;Raptor;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;GOR Sritex Arena;-7.570869798144614, 110.81498132579311;-7.570869798144614; 110.81498132579311;3500;61;NA;NA;1;1;3;8;47;1;NA;37;1;21;2
ID_47;47;Men;Football;Europe;Italy;SS Lazio;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stadio Olimpico di Roma;41.93432439197518, 12.45497175975184;41.93432439197518; 12.45497175975184;73261;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_48;48;Men;Football;Europe;Italy;Spezia Calcio;NA;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stadio Alberto Picco;44.10233875825244, 9.809058990549325;44.10233875825244; 9.809058990549325;11512;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_49;49;Men;Basketball;Europe;Italy;Aquila Basket Trento;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;PalaTrento;46.04121936494147, 11.123902415235168;46.04121936494147; 11.123902415235168;4360;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_50;50;Men;Basketball;Europe;Italy;Fortitudo Bologna;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;PalaDozza;44.50000305154447, 11.332186216271571;44.50000305154447; 11.332186216271571;5570;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_51;51;Men;Basketball;Europe;Italy;Guerino Vanoli Basket;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;PalaRadi;45.15139279922309, 10.034781269161469;45.15139279922309; 10.034781269161469;3519;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_52;52;Men;Baseball;Europe;Italy;Fortitudo Baseball Bologna;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stadio Gianni Falchi;44.46266243564498, 11.381055540589234;44.46266243564498; 11.381055540589234;2500;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
